County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Taylor County, TX,3,126,322,1083,3256,178,19,134117
Livingston Parish, LA,1,60,437,938,2678,126,0,134053
Coweta County, GA,2,54,150,609,1937,145,9,133180
Chautauqua County, NY,2,60,216,814,2628,85,34,133080
Washington County, WI,2,21,86,309,1922,37,5,132739
Rapides Parish, LA,9,169,806,1747,4207,249,4,132723
Black Hawk County, IA,5,75,397,1061,2418,140,28,132546
Wichita County, TX,6,154,362,1439,3973,264,11,132047
Madison County, IN,3,88,190,965,2842,262,41,130482
Berkshire County, MA,0,55,311,891,1885,93,16,129585
Cochise County, AZ,4,52,669,713,2662,197,32,129473
Wood County, OH,1,19,63,464,2083,66,9,129264
Wright County, MN,0,8,61,233,2016,82,10,128470
Spotsylvania County, VA,2,61,166,236,1937,156,11,127348
Sebastian County, AR,6,97,600,1261,3804,199,12,127342
San Juan County, NM,6,57,657,725,2325,189,29,126503
Randall County, TX,6,126,449,1094,3091,313,29,126474
Blair County, PA,6,38,233,386,1644,80,24,126314
Washington County, RI,1,14,48,346,1627,68,10,126259
Hunterdon County, NJ,3,5,36,265,804,31,5,126250
Canadian County, OK,7,107,403,1200,2956,460,20,126123
Washington County, TN,1,60,427,1004,2943,157,23,125546
Tangipahoa Parish, LA,11,185,935,2683,4262,218,1,125412
Blount County, TN,3,43,348,987,2066,162,6,125099
Harnett County, NC,4,57,237,1203,1802,150,18,124987
Comanche County, OK,13,174,729,1702,3616,330,42,124937
Strafford County, NH,2,42,153,479,2612,75,39,124593
Wayne County, NC,20,108,388,1576,2981,263,6,124583
Boone County, KY,3,64,60,627,2453,177,17,124442
Bossier Parish, LA,3,60,194,519,2575,78,4,123823
Gregg County, TX,7,145,382,1241,3834,395,19,123024
Grayson County, TX,3,48,228,1013,2511,237,14,122353
Wilson County, TN,4,44,329,569,1855,160,5,121945
Richland County, OH,3,115,81,1833,3884,152,58,121773
Potter County, TX,5,154,502,1218,3529,363,30,121661
Parker County, TX,3,15,109,621,1612,98,6,121418
Clarke County, GA,5,162,256,1193,3470,255,25,121265
Oswego County, NY,0,26,139,774,2163,101,18,121165
Kennebec County, ME,3,44,101,849,2654,106,27,121164
Pickens County, SC,9,41,369,1017,3346,333,12,119829
Morgan County, AL,2,86,201,1114,2595,166,12,119787
Faulkner County, AR,4,80,230,1064,2823,228,15,119580
Jefferson County, NY,1,25,176,464,2101,155,19,119504
Kendall County, IL,2,14,93,297,1372,30,11,119348
Skagit County, WA,2,46,147,1239,3406,248,27,118837
Linn County, OR,0,42,73,708,2822,211,18,118765
Comal County, TX,3,29,245,558,2104,131,9,118480
Warren County, KY,6,81,98,838,2824,202,11,118370
Windham County, CT,0,21,41,194,561,74,8,117604
Delaware County, IN,1,104,192,914,2631,232,41,117484
Cache County, UT,0,4,38,374,1497,68,7,116909
Lycoming County, PA,2,81,102,515,1925,78,25,116754
Calhoun County, AL,6,131,504,1710,3482,147,34,116736
La Crosse County, WI,4,43,125,650,2437,77,3,116713
Jasper County, MO,3,71,365,1054,4147,368,39,116398
Brunswick County, NC,1,25,119,1341,1906,128,19,115301
Mercer County, PA,2,70,154,645,1946,69,9,115195
Wayne County, OH,2,18,32,550,1273,72,18,115071
Tom Green County, TX,5,36,217,852,2841,146,11,114954
Sheboygan County, WI,5,23,142,408,1964,80,9,114922
Saline County, AR,0,40,225,775,2277,186,10,114404
Ascension Parish, LA,0,53,1,733,2723,40,2,114393
Douglas County, KS,0,57,309,745,3625,219,39,114322
Clark County, IN,3,73,579,954,3388,263,4,112938
Lowndes County, GA,5,97,214,901,2342,111,13,112916
Terrebonne Parish, LA,5,100,300,764,3386,243,8,112749
Allegan County, MI,1,9,158,501,1373,55,7,112531
Carroll County, GA,3,71,229,903,2402,162,8,112355
LaSalle County, IL,0,14,88,424,1652,38,18,112183
Kankakee County, IL,8,82,207,658,2195,94,46,112120
St. Lawrence County, NY,0,11,99,486,1751,40,13,111963
Missoula County, MT,0,43,241,468,3028,147,18,111807
LaPorte County, IN,3,72,86,827,2672,146,23,111281
St. Mary's County, MD,0,51,194,753,1943,87,16,109633
Henderson County, NC,6,30,129,788,1601,161,3,109540
Macon County, IL,6,111,270,1090,1776,97,35,109278
Ontario County, NY,2,22,90,434,1556,41,0,109103
Berkeley County, WV,4,69,168,726,2082,157,16,108706
Kaufman County, TX,2,35,178,718,1366,181,7,108568
Fayette County, GA,3,21,54,286,1125,130,5,108365
Eaton County, MI,1,36,109,411,1495,63,18,108348
Vigo County, IN,6,90,114,1350,3560,351,54,108291
Hardin County, KY,2,43,43,415,1579,70,18,108191
Sumter County, SC,12,103,685,1611,2713,346,54,108123
Androscoggin County, ME,0,63,45,767,2407,99,22,107604
Bonneville County, ID,0,15,145,423,1875,96,8,107517
Warren County, NJ,1,18,59,312,1314,46,3,107379
Navajo County, AZ,3,13,355,659,1702,88,8,107322
Sumter County, FL,0,17,119,321,559,45,1,107056
Douglas County, OR,1,37,71,658,2349,187,29,106940
Bay County, MI,1,41,212,453,1573,89,15,106832
Columbiana County, OH,2,7,22,296,810,35,3,105893
Pennington County, SD,5,55,312,716,3149,258,21,105761
Allen County, OH,8,120,358,1042,2646,132,25,105298
DeKalb County, IL,1,31,192,337,1836,47,22,104741
Craven County, NC,3,61,236,1888,2116,145,9,104489
Etowah County, AL,2,126,361,1241,2674,294,42,103931
Houston County, AL,7,108,259,1095,2380,184,18,103668
Tompkins County, NY,0,33,43,294,1736,38,2,103617
Miami County, OH,1,35,13,561,2340,78,20,103439
Albemarle County, VA,4,18,59,294,1429,61,14,103000
Whitfield County, GA,3,38,212,780,2121,121,14,102945
Walworth County, WI,1,12,99,287,1566,61,3,102945
Newton County, GA,5,54,287,986,1612,248,11,102446
Monongalia County, WV,3,43,209,400,1580,74,10,102274
Woodbury County, IA,3,46,227,709,2830,222,20,102130
Cecil County, MD,2,119,390,870,2362,138,45,101913
Cowlitz County, WA,4,66,162,872,2742,237,51,101860
Bradley County, TN,1,54,519,681,2409,160,7,101848
Franklin County, MO,3,21,156,445,2032,111,4,101816
Fond du Lac County, WI,0,13,172,251,1480,54,6,101798
Adams County, PA,6,7,87,263,905,50,11,101546
Craighead County, AR,4,82,212,1387,2285,110,18,101488
Eau Claire County, WI,4,18,109,445,1636,50,5,101438
Hanover County, VA,5,21,77,111,1047,58,4,101330
Bartow County, GA,2,38,350,1032,2545,287,6,101273
Wicomico County, MD,5,148,371,764,2494,109,33,100896
Yamhill County, OR,4,22,76,546,1456,98,24,100725
Cass County, MO,1,21,144,346,1735,104,11,100641
Fairbanks North Star Borough, AK,3,39,112,148,1283,118,5,100436
Madison County, MS,3,19,64,239,1067,56,1,100412
Flagler County, FL,1,38,210,436,1432,74,6,99956
Ashtabula County, OH,2,17,63,507,1158,61,6,99811
Putnam County, NY,0,8,26,187,604,33,0,99645
Lenawee County, MI,4,22,132,335,1148,68,13,99188
Madison County, TN,13,196,882,1300,2604,180,27,98733
Steuben County, NY,0,15,101,348,1272,54,4,98650
Roanoke city, VA,9,141,353,939,3602,248,43,98465
Daviess County, KY,1,50,72,669,2369,156,19,98218
Nevada County, CA,1,19,204,617,1071,155,14,98200
Highlands County, FL,3,65,173,840,1527,105,10,97616
Garland County, AR,10,63,268,1612,3379,240,2,97173
Lafourche Parish, LA,4,31,143,700,1685,77,2,97141
Cabell County, WV,2,142,147,1289,3150,203,68,97133
Cleveland County, NC,6,59,140,957,1566,92,7,97047
Montgomery County, VA,0,16,72,341,1440,54,21,96207
Portsmouth city, VA,11,181,228,1220,3419,215,14,96205
Cape May County, NJ,2,53,187,1054,3278,84,3,95897
Floyd County, GA,5,56,256,903,2700,144,36,95821
Laramie County, WY,2,27,165,425,2147,144,16,95809
Dubuque County, IA,2,23,107,748,1282,74,34,95697
Carver County, MN,1,7,31,162,901,25,7,95562
Sutter County, CA,5,45,242,758,1786,288,15,95350
Matanuska-Susitna Borough, AK,0,8,49,77,511,28,8,95192
Nash County, NC,11,100,470,1125,1981,166,12,95093
Marshall County, AL,1,29,124,800,1648,127,8,94760
Gallatin County, MT,1,10,111,240,1877,86,41,94720
Northumberland County, PA,3,6,182,317,1042,62,12,94076
Geauga County, OH,3,5,21,117,353,13,2,93972
Sevier County, TN,1,44,237,1364,2529,206,8,93570
Roanoke County, VA,2,14,112,317,1160,54,1,93524
Bowie County, TX,7,88,454,1073,2541,241,27,93487
Platte County, MO,2,5,80,143,682,46,20,93310
Flathead County, MT,1,13,202,429,1946,108,9,93068
Dougherty County, GA,4,240,589,1600,3844,266,13,92969
Lauderdale County, AL,3,55,157,612,1600,100,6,92797
Pottawattamie County, IA,1,83,647,1166,3283,567,55,92728
Tuscarawas County, OH,1,10,25,275,685,48,5,92672
Wayne County, NY,1,17,90,431,1145,39,4,92473
Story County, IA,0,8,78,449,1539,49,11,92406
Grant County, WA,5,48,170,907,2423,287,24,91878
Rockingham County, NC,7,51,180,1041,1967,132,18,91878
Moore County, NC,6,41,124,686,1225,99,5,91587
Campbell County, KY,3,73,54,743,2284,143,22,90988
Orangeburg County, SC,13,117,214,1353,2713,486,23,90942
Calvert County, MD,2,22,83,400,1259,45,12,90484
Sherburne County, MN,0,10,65,228,1212,55,4,90158
Victoria County, TX,6,50,385,761,2218,130,19,90028
Grand Traverse County, MI,0,9,84,227,859,43,5,89987
Burke County, NC,3,40,111,943,1318,95,5,89842
Buchanan County, MO,1,93,227,1065,3573,384,29,89631
Grafton County, NH,0,14,67,302,1354,31,33,89629
Lawrence County, PA,4,93,343,635,1401,73,13,89333
Rogers County, OK,0,11,117,313,745,105,16,89044
Limestone County, AL,4,25,104,398,1146,56,0,88845
Chemung County, NY,4,46,170,398,1770,46,4,88506
Burleigh County, ND,1,17,188,387,1650,120,12,88457
Lapeer County, MI,0,6,90,273,836,44,5,88389
Dodge County, WI,1,6,49,248,1096,26,8,88344
Indiana County, PA,5,16,240,310,990,53,10,87745
Angelina County, TX,5,53,247,789,2223,108,11,87441
Crawford County, PA,1,16,52,413,972,34,16,87376
Mendocino County, CA,6,46,279,563,981,190,38,87192
Ozaukee County, WI,0,6,40,165,727,14,1,87054
Hunt County, TX,1,65,306,869,1825,169,10,87048
Rockdale County, GA,1,56,240,804,2234,271,3,86919
Franklin County, WA,1,46,154,525,1242,195,11,86638
Benton County, OR,1,18,58,322,1460,59,19,86591
Wood County, WV,1,35,216,619,1876,109,29,86569
St. Clair County, AL,9,20,132,341,1166,67,16,86308
St. Croix County, WI,1,3,47,175,1022,48,7,85930
Walton County, GA,21,42,167,817,1719,163,4,85754
Suffolk city, VA,2,52,189,357,1823,95,20,85728
Madison County, KY,1,60,55,833,2063,114,12,85590
Lee County, MS,0,7,44,299,464,31,20,85340
Rockwall County, TX,1,6,69,261,1049,72,2,85245
Muskingum County, OH,3,55,74,647,2349,123,19,85231
Jefferson County, WI,1,3,86,256,1130,31,11,84509
Midland County, MI,2,7,46,208,722,15,6,83919
Maury County, TN,5,45,385,518,1640,80,11,83761
St. Landry Parish, LA,7,69,356,823,1641,84,3,83454
Josephine County, OR,1,57,154,713,1978,208,17,83306
Bannock County, ID,3,25,154,337,1773,69,7,83249
Orange County, TX,1,47,231,675,1401,184,5,82957
Howard County, IN,4,63,135,682,1574,107,1,82760
Newport County, RI,1,20,106,452,1544,68,21,82397
Cascade County, MT,1,28,150,391,2569,157,17,82384
Caldwell County, NC,2,32,88,830,1931,132,24,81990
Wilson County, NC,9,78,234,895,1938,138,17,81667
Clinton County, NY,0,6,66,274,1296,39,7,81591
Glynn County, GA,6,125,312,957,2814,112,8,81508
Frederick County, VA,2,11,45,301,1258,93,2,81319
Clearfield County, PA,0,12,198,325,1454,43,19,81174
Talladega County, AL,3,39,198,1028,2262,185,8,81096
Natrona County, WY,3,12,130,474,1739,133,23,80973
Elmore County, AL,4,44,159,665,1367,85,14,80902
Christian County, MO,0,9,123,312,999,75,1,80899
Cullman County, AL,2,13,161,483,1483,99,6,80811
Manitowoc County, WI,0,14,88,252,1258,47,4,80654
Lancaster County, SC,13,68,299,884,2146,115,22,80458
Vermilion County, IL,4,88,299,955,1979,124,27,80329
Lauderdale County, MS,12,134,87,1064,1468,219,11,80254
Twin Falls County, ID,4,19,171,334,1177,77,12,79957
Lincoln County, NC,3,16,79,649,1318,53,9,79740
Bartholomew County, IN,1,25,90,382,2138,234,5,79587
Cayuga County, NY,1,22,106,305,1306,46,15,79477
Payne County, OK,2,26,118,467,1706,96,10,79066
Cattaraugus County, NY,1,17,114,432,1452,34,9,78892
Raleigh County, WV,9,99,227,1054,2126,132,14,78833
Island County, WA,1,5,82,520,924,63,9,78801
Henderson County, TX,2,18,226,657,1262,172,7,78675
White County, AR,1,23,118,915,1472,173,5,78483
Leavenworth County, KS,0,34,289,464,1142,115,34,78185
Scioto County, OH,0,49,45,770,2046,114,23,78153
Lynchburg city, VA,3,46,184,367,1667,69,13,78014
Kosciusko County, IN,2,6,119,179,983,50,7,77963
Ross County, OH,0,35,91,1006,2812,111,10,77910
Rockingham County, VA,0,4,42,204,479,49,0,77741
Cape Girardeau County, MO,3,68,194,691,2528,105,22,77320
Forrest County, MS,4,67,41,486,2087,101,5,77059
Liberty County, TX,1,36,291,544,1587,196,13,76907
Bullitt County, KY,1,24,45,531,831,82,8,76854
Polk County, OR,1,28,134,379,1598,162,16,76794
Clinton County, MI,1,16,64,240,598,58,13,76739
Umatilla County, OR,4,18,74,569,1756,290,15,76720
Cole County, MO,2,41,260,332,1529,61,10,76699
Sullivan County, NY,1,29,118,571,1144,43,19,76665
Cheshire County, NH,0,18,73,220,1087,41,9,76610
Somerset County, PA,2,8,80,209,561,28,14,76520
Monroe County, FL,3,66,289,638,2549,144,6,76351
Valencia County, NM,4,18,338,822,931,204,9,76284
Floyd County, IN,4,39,77,504,2119,212,5,76244
Coryell County, TX,3,25,99,397,819,21,21,76192
Erie County, OH,6,35,89,577,1743,47,9,76048
Bastrop County, TX,0,20,184,505,1205,98,8,75825
Hancock County, OH,0,21,45,382,1517,32,5,75773
Nassau County, FL,1,21,95,412,926,72,12,75710
Wagoner County, OK,2,24,143,378,997,83,12,75700
Anderson County, TN,3,37,193,646,1540,178,17,75542
Van Buren County, MI,0,13,150,418,1127,88,14,75455
Riley County, KS,1,24,128,249,1212,44,15,75394
Lewis County, WA,3,23,106,557,1365,118,13,75081
Oconee County, SC,5,17,332,662,1456,157,13,75045
Dallas County, IA,1,3,97,193,841,43,6,74641
Christian County, KY,6,67,87,670,1408,104,14,74167
Chelan County, WA,1,17,82,466,1473,81,3,73967
Wood County, WI,1,10,12,269,1335,44,0,73959
Augusta County, VA,2,2,76,132,688,38,3,73912
Iberia Parish, LA,0,69,9,583,1257,15,1,73878
Putnam County, TN,0,34,271,711,2075,123,6,73525
Allegany County, MD,3,42,201,571,1907,67,13,73521
Yuba County, CA,6,39,213,612,1148,253,27,73340
McKinley County, NM,7,67,393,540,1615,127,18,73308
Jefferson County, AR,14,139,507,1400,2306,255,44,73191
Surry County, NC,7,28,164,679,1466,121,19,73050
Putnam County, FL,5,51,428,1029,1952,80,7,72577
Madison County, NY,0,5,43,271,974,30,2,72382
Clallam County, WA,5,24,133,654,1540,112,7,72312
Apache County, AZ,1,3,63,159,237,12,41,71934
Hancock County, IN,1,16,24,190,536,41,2,71575
Barrow County, GA,0,22,296,409,1149,94,7,71453
Franklin County, MA,1,26,180,484,734,28,7,71221
Bulloch County, GA,4,61,35,514,1735,91,2,71214
Pottawatomie County, OK,4,22,279,659,1645,240,3,71158
Grays Harbor County, WA,4,37,77,649,1479,143,10,71078
DeKalb County, AL,0,9,242,558,1085,131,10,71013
Lonoke County, AR,0,18,174,864,1145,121,15,70753
James City County, VA,1,14,43,152,791,14,10,70516
Creek County, OK,4,16,113,341,757,116,16,70470
Isabella County, MI,2,3,97,309,1057,38,5,70436
Portage County, WI,0,4,56,222,947,24,3,70380
Muskogee County, OK,3,41,593,878,1324,142,23,70303
Aroostook County, ME,1,9,33,271,915,37,6,70055
Bedford County, VA,1,2,28,231,515,41,2,69825
Morgan County, IN,1,4,22,175,1099,86,3,69782
Greenwood County, SC,7,73,676,965,2564,122,12,69723
Belmont County, OH,0,3,25,248,580,42,3,69571
Kauai County, HI,0,22,159,689,1753,151,10,69512
Grand Forks County, ND,0,21,110,270,1308,101,3,69179
Grant County, IN,3,51,35,392,1336,96,10,69126
Troup County, GA,5,76,122,706,1935,119,7,69053
Wilkes County, NC,2,22,130,622,1326,72,5,69023
Harrison County, WV,1,14,153,296,1136,70,10,68972
Jones County, MS,1,42,89,678,1107,26,3,68961
Shiawassee County, MI,2,11,98,297,908,35,10,68900
Walker County, TX,1,15,209,434,937,56,4,68817
Carteret County, NC,4,20,147,618,1354,78,7,68434
Greene County, TN,5,41,213,626,1402,128,14,68267
Walker County, GA,0,31,110,518,1310,103,0,68198
Armstrong County, PA,0,9,43,177,428,29,3,68107
Lea County, NM,4,28,280,729,1600,184,6,68062
Ward County, ND,0,6,93,127,718,117,7,67990
Jefferson County, OH,0,5,23,91,212,10,2,67964
Darlington County, SC,10,70,410,1178,2471,217,11,67935
Wayne County, IN,7,55,88,613,1259,143,41,67893
Marquette County, MI,2,2,69,188,1173,45,6,67700
Columbia County, FL,3,46,373,812,1317,53,3,67543
Robertson County, TN,3,53,190,305,1036,67,5,67383
Fauquier County, VA,2,8,34,117,596,39,10,67207
Adams County, IL,0,16,160,287,1251,30,9,67130
Rutherford County, NC,1,14,84,863,1127,100,14,66956
Williamson County, IL,0,14,208,507,429,66,6,66924
Harrison County, TX,3,20,198,597,971,72,8,66886
Chatham County, NC,1,18,75,504,739,41,8,66817
Columbia County, PA,3,9,50,306,1189,25,6,66797
York County, VA,0,15,65,129,1200,26,12,66269
Laurens County, SC,6,49,394,734,1600,119,13,66229
St. Francois County, MO,1,8,155,306,1510,118,4,66215
San Patricio County, TX,4,16,172,517,1354,65,9,66137
Walker County, AL,2,56,219,780,1839,170,11,65998
Klamath County, OR,2,38,88,319,945,140,22,65910
Marion County, OH,2,71,43,1283,2057,57,16,65905
Chaves County, NM,8,48,269,756,2141,110,14,65823
Butler County, KS,0,6,122,394,1273,98,9,65803
Otero County, NM,0,10,155,319,823,62,8,65616
Blue Earth County, MN,0,29,104,410,1679,73,11,65528
McCracken County, KY,4,50,43,360,1460,79,9,65373
Lewis and Clark County, MT,3,15,134,205,1135,65,11,65338
Warren County, NY,1,9,95,170,1100,25,14,65337
Nacogdoches County, TX,1,30,159,430,1358,67,5,65330
Catoosa County, GA,3,18,102,347,1428,136,7,65311
Salem County, NJ,1,47,113,488,987,50,13,65166
Rice County, MN,0,18,53,248,1029,41,21,65049
Carbon County, PA,3,17,138,352,953,36,8,64786
Livingston County, NY,0,1,40,169,953,15,2,64705
Athens County, OH,0,21,21,372,1125,28,4,64681
Reno County, KS,2,26,242,637,2141,159,41,64190
Herkimer County, NY,2,3,110,268,883,30,6,64181
Sampson County, NC,6,27,82,883,892,89,5,64150
Liberty County, GA,2,41,178,601,1482,79,6,64135
Ionia County, MI,1,2,50,235,703,47,9,64073
Pulaski County, KY,3,21,33,500,958,53,10,63907
Lake County, CA,3,60,280,766,958,201,25,63860
Spalding County, GA,3,82,240,797,2288,160,3,63829
Pike County, KY,2,5,11,101,472,19,4,63380
Crow Wing County, MN,1,4,66,313,1418,45,4,63208
Sauk County, WI,1,7,59,225,1646,40,7,63162
Chippewa County, WI,0,7,60,242,777,33,9,63132
Montcalm County, MI,1,7,71,339,925,40,10,63105
Washington County, NY,6,7,53,233,621,31,5,63093
Hamblen County, TN,0,58,217,374,1955,112,12,63074
Tehama County, CA,3,36,298,451,896,160,5,63057
Pope County, AR,1,7,123,526,1243,108,3,62547
Kershaw County, SC,2,26,299,663,1333,124,4,62516
Pittsylvania County, VA,2,8,15,209,383,51,6,62426
Oldham County, KY,1,6,16,235,392,26,7,62364
Bradford County, PA,0,5,61,284,880,55,15,62316
Coos County, OR,1,15,94,410,1534,88,4,62282
Garfield County, OK,2,21,117,517,1456,102,13,62267
Franklin County, NC,0,22,124,468,776,78,8,62260
Columbia County, NY,0,18,72,262,1039,12,13,62243
Acadia Parish, LA,4,20,74,162,401,54,0,62204
Mercer County, WV,5,34,181,523,968,112,6,61984
Starr County, TX,2,10,141,349,592,72,5,61963
Lawrence County, OH,1,20,81,388,1000,77,6,61917
Otsego County, NY,0,14,54,195,716,25,14,61683
Crawford County, AR,1,8,162,456,1060,70,1,61640
Tipton County, TN,5,32,202,368,901,87,5,61586
Washington County, OH,0,4,25,283,564,28,4,61310
Warrick County, IN,0,6,144,126,771,39,7,61049
Jackson County, GA,0,9,71,242,954,54,2,61044
St. Joseph County, MI,0,7,122,256,853,52,7,60964
Wise County, TX,1,7,73,235,582,55,1,60939
Knox County, OH,1,8,26,229,980,0,0,60810
Tooele County, UT,0,21,100,323,1233,123,24,60762
Hall County, NE,0,21,105,418,2037,90,17,60720
Clay County, MN,0,5,55,191,916,38,18,60661
Stanly County, NC,0,22,76,537,929,51,17,60635
Rutland County, VT,2,18,78,582,1573,52,14,60622
Mason County, WA,6,22,107,914,1407,256,12,60497
Boone County, IN,0,5,10,131,635,5,1,60477
Georgetown County, SC,4,31,239,710,1527,125,6,60440
Lee County, NC,4,39,63,418,961,83,7,60266
Belknap County, NH,0,13,83,359,1485,56,9,60179
Sandusky County, OH,0,16,90,353,1146,26,1,60098
Duplin County, NC,9,24,148,633,806,64,12,60084
Lowndes County, MS,1,19,125,600,1001,52,4,59922
Jackson County, IL,1,53,264,488,1683,73,20,59814
Walton County, FL,1,18,183,375,980,70,5,59807
Russell County, AL,2,70,172,776,1484,218,0,59585
Laurel County, KY,3,20,21,329,579,71,2,59563
Walla Walla County, WA,0,22,98,450,1550,105,15,59530
Broomfield County, CO,1,6,16,90,1081,47,6,59471
Genesee County, NY,0,8,72,266,1059,32,16,59454
Washington County, VT,1,9,46,358,1207,26,7,59319
Vermilion Parish, LA,7,32,170,458,918,47,0,59253
Haywood County, NC,1,19,122,616,996,95,4,59183
Barry County, MI,0,2,64,172,533,29,5,59097
Lenoir County, NC,1,76,288,796,1468,67,11,58914
Huron County, OH,0,6,9,190,494,32,1,58889
Newton County, MO,3,15,104,455,1404,144,22,58845
Lamar County, MS,1,11,14,461,544,24,1,58801
Granville County, NC,0,46,153,712,1032,62,10,58275
Anderson County, TX,3,23,169,427,847,93,7,57938
Blount County, AL,1,9,101,397,865,86,9,57872
San Benito County, CA,1,33,168,357,562,104,12,57600
Otter Tail County, MN,1,3,39,252,627,45,5,57581
Whiteside County, IL,0,8,73,248,1129,41,1,57557
Cumberland County, TN,2,22,201,581,1292,96,14,57466
Carter County, TN,4,7,81,435,994,83,5,57338
Garfield County, CO,1,4,54,178,784,61,3,57302
Oxford County, ME,0,7,22,435,1033,43,16,57277
Columbus County, NC,4,55,136,959,1325,123,14,57246
Kenai Peninsula Borough, AK,0,4,89,61,693,26,3,57147
Marion County, WV,0,12,119,181,327,24,9,56868
Hawkins County, TN,1,14,109,399,1070,89,7,56800
Columbia County, WI,0,3,65,224,685,27,4,56653
Putnam County, WV,1,9,164,157,655,31,1,56650
Pike County, PA,0,17,36,429,616,30,8,56591
Franklin County, VA,0,5,44,169,649,45,1,56335
Pickaway County, OH,1,19,32,725,1400,38,9,56304
Windsor County, VT,2,5,45,383,672,49,12,56067
Maverick County, TX,3,4,156,512,993,42,1,55932
Seneca County, OH,0,6,12,207,330,11,2,55914
Cherokee County, SC,3,20,138,338,584,97,3,55885
Gordon County, GA,4,11,158,345,1110,63,1,55757
Saline County, KS,2,26,136,493,1900,119,25,55740
Edgecombe County, NC,3,61,264,735,1301,83,13,55574
Eddy County, NM,7,19,263,628,1596,133,7,55471
Hardin County, TX,3,12,63,192,625,90,5,55417
Pender County, NC,1,14,98,206,713,43,5,55334
Autauga County, AL,3,34,87,447,1233,85,108,55246
Campbell County, VA,2,8,41,176,651,39,2,55235
Jefferson County, WV,0,11,51,151,654,27,7,55073
Pearl River County, MS,0,9,17,141,346,23,4,55072
Washington County, VA,2,4,44,241,928,67,6,54907
Hancock County, ME,3,6,29,256,771,29,2,54845
Fulton County, NY,0,12,36,302,1166,44,2,54586
Johnson County, MO,2,9,59,280,1033,71,6,54572
Colbert County, AL,2,34,212,636,1342,112,3,54520
Effingham County, GA,1,10,22,193,341,29,1,54456
Tuscola County, MI,0,2,67,227,558,33,3,54263
Carson City, NV,0,14,118,298,731,78,4,54080
Boone County, IL,0,0,3,12,75,2,0,53957
Venango County, PA,3,5,39,125,665,20,2,53907
Tuolumne County, CA,0,16,74,468,637,85,25,53874
Lincoln County, MO,0,7,83,172,552,36,4,53860
Chisago County, MN,1,3,35,91,469,46,13,53761
Pulaski County, MO,3,18,176,349,744,46,6,53748
Coles County, IL,2,14,105,140,517,14,18,53697
Grady County, OK,1,13,146,443,853,93,9,53685
Rusk County, TX,0,24,187,381,1040,72,7,53622
Taney County, MO,0,26,243,351,1564,102,3,53575
St. Mary Parish, LA,1,41,240,412,1329,73,3,53543
Halifax County, NC,7,55,199,732,1226,81,13,53453
Coffee County, TN,2,17,219,356,1183,69,4,53357
Union County, OH,0,1,6,65,186,9,2,53306
La Plata County, CO,2,8,79,148,647,34,7,53284
Gila County, AZ,1,11,114,252,587,55,19,53053
Roane County, TN,1,13,106,467,908,75,13,53047
Ashland County, OH,0,4,16,316,785,18,4,53043
Jackson County, AL,0,2,185,452,858,84,11,52951
St. Martin Parish, LA,3,16,162,185,823,13,0,52936
Hood County, TX,1,3,61,171,857,54,5,52905
St. Charles Parish, LA,2,32,223,409,1118,78,18,52617
Henry County, VA,5,28,145,380,823,75,6,52617
Vernon Parish, LA,1,5,97,63,868,77,9,52606
Van Zandt County, TX,4,8,86,334,598,96,1,52481
Eagle County, CO,2,4,66,116,704,18,11,52460
Ogle County, IL,1,1,20,106,317,6,3,52385
Elko County, NV,6,10,129,343,778,137,4,52384
Darke County, OH,0,12,53,338,712,37,3,52376
Watauga County, NC,1,6,57,201,680,26,4,52372
McMinn County, TN,0,37,216,483,1426,136,13,52341
Waupaca County, WI,0,5,43,237,868,27,3,52285
Jefferson County, TN,3,26,117,399,957,68,5,52123
Knox County, IL,2,14,121,340,1032,22,4,52078
Cass County, MI,3,2,43,350,539,33,7,51910
Somerset County, ME,1,14,24,406,1162,44,17,51706
Franklin County, NY,1,5,31,201,710,25,2,51688
Worcester County, MD,1,31,138,432,1750,33,9,51620
Washington County, OK,2,16,109,375,949,73,7,51577
Lyon County, NV,1,12,121,322,729,73,10,51557
Wayne County, PA,2,6,33,263,569,28,17,51548
Camden County, GA,2,23,175,343,1055,46,5,51476
Harrisonburg city, VA,1,24,70,152,891,27,6,51395
Hoke County, NC,0,23,30,503,368,17,21,51322
Lafayette County, MS,0,5,6,81,394,14,0,51318
Winona County, MN,0,8,28,123,553,40,6,51232
Grant County, WI,0,1,63,172,798,23,3,51069
Coffee County, AL,2,12,155,321,786,73,13,50938
Cherokee County, TX,2,25,195,436,903,102,8,50878
Box Elder County, UT,0,7,70,188,939,37,9,50794
Curry County, NM,4,22,151,729,1558,85,35,50598
Loudon County, TN,0,16,94,290,783,59,2,50448
Dickson County, TN,4,3,151,328,1008,51,9,50266
Tioga County, NY,0,7,26,148,423,15,0,50243
Grundy County, IL,1,1,27,162,843,8,12,50228
Jessamine County, KY,2,30,31,536,1195,49,5,50173
Kerr County, TX,2,8,53,221,754,37,6,49953
Scott County, KY,1,33,127,352,1001,71,4,49947
Dearborn County, IN,2,6,17,64,502,8,0,49904
Montgomery County, NY,4,12,32,227,880,23,1,49897
Dale County, AL,1,32,164,325,930,63,13,49884
Henry County, IL,0,0,43,98,693,13,6,49860
