County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Monmouth County, NJ,11,366,649,2556,9202,352,41,629672
Providence County, RI,30,632,1310,4292,11939,2280,114,628600
Bucks County, PA,6,216,345,2121,9748,466,58,626976
Polk County, FL,39,421,1584,5796,12467,825,90,623009
Tulsa County, OK,45,1122,2928,7291,15582,2702,263,622409
Baltimore city, MD,216,3638,4660,7804,18055,4009,251,622104
Kent County, MI,22,639,1585,3878,10346,613,129,621700
Arapahoe County, CO,22,552,970,2879,11787,1348,110,607070
Ocean County, NJ,4,158,415,2659,8369,212,66,583414
Johnson County, KS,8,126,582,1534,8912,964,87,566933
Delaware County, PA,30,849,1932,2309,9745,602,59,561973
Anne Arundel County, MD,13,538,1806,2588,11324,888,65,555743
Washington County, OR,10,219,480,1652,8171,567,82,554996
Bristol County, MA,6,692,1965,3653,8599,876,105,552780
Utah County, UT,6,67,237,1304,8450,364,20,551891
Jefferson County, CO,8,238,830,2186,11565,1151,69,551798
Brevard County, FL,30,505,2229,3945,11867,847,64,550823
New Castle County, DE,46,1167,1855,4310,12637,1015,22,549684
Union County, NJ,28,966,824,2613,7099,1832,34,548256
Summit County, OH,27,656,1105,4547,11196,997,145,541824
Douglas County, NE,41,824,1536,3684,14152,2893,73,537256
Montgomery County, OH,32,933,925,5833,12696,1261,218,535846
Lancaster County, PA,15,331,420,1723,8235,347,49,529600
Ramsey County, MN,15,730,1458,4257,12857,2442,175,526714
Stanislaus County, CA,38,788,1920,5551,12425,4085,117,525491
Kane County, IL,6,189,520,1601,6110,238,77,523643
Camden County, NJ,71,1182,1760,3986,11325,1388,173,512854
Dane County, WI,9,291,675,2364,10343,370,57,509939
Chester County, PA,14,174,525,1423,5972,258,38,509468
Guilford County, NC,28,753,1364,5151,12198,933,183,506610
Passaic County, NJ,30,1213,1151,3093,6599,1392,19,505672
Sedgwick County, KS,24,513,2301,4575,17136,1967,160,505415
Plymouth County, MA,7,307,1424,2429,6462,408,65,501915
Volusia County, FL,19,422,1623,4095,12072,1046,29,500800
Morris County, NJ,2,106,212,1144,3850,205,5,499397
Montgomery County, TX,12,221,569,2349,6227,681,17,499137
Sonoma County, CA,4,232,1404,1826,5982,706,62,495025
Lake County, IN,62,685,1169,4241,12146,1911,154,491456
Spokane County, WA,18,658,942,6147,19138,2910,98,479398
Pasco County, FL,12,304,1094,3597,8943,657,91,475502
Greenville County, SC,20,451,2078,4000,11148,1254,67,474266
Richmond County, NY,24,1143,1764,1053,6586,463,0,472621
Williamson County, TX,3,126,447,1402,6826,277,33,471014
Adams County, CO,22,238,1044,2175,9187,1464,101,469193
Onondaga County, NY,15,539,1091,2988,8553,592,63,468387
Hampden County, MA,11,788,1776,4570,9836,1231,115,467319
Tulare County, CA,33,412,1540,4364,9194,1835,39,454143
Polk County, IA,8,280,978,3410,10775,988,79,451677
Burlington County, NJ,2,247,344,1938,5766,369,55,450838
Virginia Beach city, VA,21,327,346,1574,9717,487,124,448479
East Baton Rouge Parish, LA,84,1297,1512,5806,15182,671,213,445227
Knox County, TN,25,612,1536,4205,12733,1372,46,444622
Clark County, WA,7,230,563,2421,7526,1699,93,443817
York County, PA,17,303,670,1313,7055,293,70,438965
Prince William County, VA,2,214,380,944,5656,377,52,438580
Lucas County, OH,40,1192,2122,7618,3320,1529,547,436393
Seminole County, FL,17,357,985,2478,7200,504,17,436041
Santa Barbara County, CA,6,311,1180,2430,6933,801,54,435697
Jefferson Parish, LA,37,501,1291,3124,11741,997,98,434767
Washoe County, NV,12,411,1132,2626,7466,1228,66,433731
Monterey County, CA,45,706,1021,2912,5612,1774,64,428826
Solano County, CA,28,659,1044,4322,6435,2433,118,424788
